date,enddate,location,city,state,presenter,piece,role,notes
10/10/2022,,Virginia Tech University,Blacksburg,VA,Freshman Composition Class presentation,,,
10/8/2022,,Art Rat Studios,Roanoke,VA,Art Rat Studios,improv,improviser,with Kyle Hutchins
10/6/2022,,Virginia Tech University,Blacksburg,VA,Composition Seminar,,,
9/30/2022,,NYU / Columbia University,New York,NY,IRCAM Forum,quartet,composer,
7/10/2022,,Kühlspot Social Club,Berlin,DE,Kühlspot Social Club,improv,improviser,with Nina Guo
7/9/2022,,K77 Studio,Berlin,DE,K77 Studio,improv,improviser,with Nina Guo
7/9/2022,,Catalyst & Technical University,Berlin,DE,Catalyst & Technical University,FluComa,Workshop,
7/3/2022,,Limerick University,Limerick,Ireland,ICMC,FluComa,Workshop,
7/1/2022,,New River Studios,London,UK,SKRONK,improv,improviser,with Kyle Hutchins & Seth Davis
6/18/2022,,AME,Huddersfield,UK,AME,improv,improviser,with PA Tremblay and Emil Karlsen
6/3/2022,6/4/2022,University of Sussex,Brighton,UK,University of Sussex,FluComa,Workshop,
6/2/2022,,The Rose Hill,Brighton,UK,University of Sussex,improv,improviser,with Paul Keene
5/19/2022,,Soda Acústic,Barcelona,ES,Soda Acústic,improv,improviser,"with Ángel Faraldo, Clara Lai, & Ferran Fages"
5/13/2022,5/20/2022,Universitat Pompeu Fabra,Barcelona,ES,Phonos Foundation,Residency,,
5/12/2022,,Soda Acústic,Barcelona,ES,Soda Acústic,improv,improviser,with El Pricto and Luis Erades
5/5/2022,,Mise-en Space,New York,NY,Mise-en ensemble,still motion,composer,Josh Perry
4/14/2022,4/15/2022,Columbia University,New York,NY,Computer Music Center,FluCoMa,Workshop,
4/11/2022,4/13/2022,University of Pennsylvania,Philadelphia,PA,Music Department,FluCoMa,Workshop,
4/9/2022,4/10/2022,Harvestworks,New York,NY,Harvestworks,FluCoMa,Workshop,
4/6/2022,4/7/2022,Peabody Conservatory,Baltimore,MD,Computer Music Department,FluCoMa,Workshop,
4/5/2022,,Red Room,Baltimore,MD,Red Room,FluCoMa,Workshop,
4/3/2022,,Carnegie Mellon University,Pittsburgh,PA,IDeATe Lab,improv,,with Ben Opie
4/2/2022,4/3/2022,Carnegie Mellon University,Pittsburgh,PA,IDeATe Lab,FluCoMa,Workshop,
4/1/2022,,Western Michigan University,Kalamazoo,MI,SEAMUS,FluCoMa Presentation,,
3/17/2022,,MIR,Oslo,Norway,NOTAM,improv,improviser,with Inga Margrete Aas
3/14/2022,3/18/2022,NOTAM,Oslo,Norway,NOTAM,FluComa,Workshop,
2/26/2022,,University of Huddersfield,Huddersfield,UK,Creative Coding Lab,Artist Presentation,,
2/25/2022,,University of Huddersfield,Huddersfield,UK,Electric Spring Festival,improv,improviser,with Mark Hanslip
1/20/2022,,University of Victoria (remote),Victoria,Canada,FluCoMa,,Workshop,
1/18/2022,,UC San Diego (remote),San Deigo,CA,Composition Seminar,,Presentation on my creative work,
1/17/2022,1/18/2021,UC San Diego (remote),San Deigo,CA,FluCoMa,,Workshop,
1/15/2022,1/16/2021,University of Washington (DXARTS) (remote),Seattle,WA,FluCoMa,,Workshop,
1/12/2022,,University of Victoria (remote),Victoria,Canada,Composition Seminar,,Presentation on my creative work,
12/3/2021,,Massechusettes Institute of Technology,Cambridge,MA,FluCoMa,,Workshop,
12/3/2021,12/4/2021,New England Conservatory,Boston,MA,FluCoMa,,Workshop,
12/2/2021,,Berklee School of Music,Boston,MA,FluCoMa,,Workshop,
12/2/2021,,Mise-en Space,New York,NY,Mise-en ensemble,still motion,composer,Josh Perry
12/2/2021,,Harvard University,Cambridge,MA,FluCoMa,,Workshop,
12/1/2021,,Columbia & Bell Labs,New York,NY,FluCoMa,,Presentation on my creative work,
11/30/2021,,New York University,New York,NY,FluCoMa,,Presentation on my creative work,
11/29/2021,,Princeton University,Princeton,NJ,FluCoMa,,Workshop,
11/24/2021,11/26/2021,McGill (CIRMMT),Montreal,Canada,FluCoMa,,Workshop,
11/17/2021,,University of Chicago (remote),Chicago ,IL,Brad Spiers Music and AI,,Guest Lecture,
11/8/2021,11/12/2021,Hogeschool voor de Kunsten,Utrecht,NL,FluCoMa,,Workshop,
10/16/2021,,Arizona State University,Phoenix,AZ,Southwest Electronic Music Festival,improv,improviser,Binary Canary
10/16/2021,,Arizona State University,Phoenix,AZ,FluCoMa,,Workshop,
10/10/2021,,University of Chicago,Chicago,IL,FluCoMa,,Workshop,
10/9/2021,,School at the Art Institute of Chicago,Chicago,IL,FluCoMa,,Workshop,
10/8/2021,,DePaul University,Chicago,IL,Composition Seminar,,Presentation on my creative work,
10/7/2021,,University of Chicago,Chicago,IL,Digital Media Workshop,,FluCoMa Presentatation,
10/3/2021,,,Chicago,IL,Ear Taxi Festival,FEATHERMUCKER,composer / performer,The Dream Songs Project
10/3/2021,,Constellation,Chicago,IL,Ear Taxi Festival,feed,composer / performer,Ted Moore & Ben Roidl-Ward
10/2/2021,,University of Chicago,Chicago,IL,Ear Taxi Festival,lacunae,composer,Wet Ink
7/27/2021,,Internet,Santiago,Chile,International Computer Music Conference,hollow,composer / performer,Binary Canary
7/23/2021,,,Città di Castello,Italy,ilSUONO,noise/gate,composer,Giacomo Piermatti
6/21/2021,,New England Conservatory (remote),Boston,MA,SICPP,Artist Presentation,Artist,
5/20/2021,,Villa Aurelia,Rome,Italy,American Academy in Rome,improv,improviser,Ted Moore & Fabrizio Spera
12/11/2020,,National Sawdust,New York,NY,National Sawdust,triangle,compoer,JACK Quartet
11/20/2020,,Internet,Charlotte,NC,Charlotte New Music,squal,composer,Erin Rogers
