date,enddate,piece,role,presenter,location,city,state,notes
6/21/2023,,saccades,,New York City Electroacoustic Music Festival,Sheen Center,New York,NY,Kyle Hutchins
6/20/2023,,Serge Modular Archive Instrument: Archiving and Performing Vintage Sound Space,,New York City Electroacoustic Music Festival,New York University,New York,NY,
6/10/2023,6/18/2023,,Techical Director,The Walden School Creative Musicians Retreat,Brewster Academy,Wolfeboro,NH,
5/31/2023,,saccades,,,ArtRat Studios,Roanoke,VA,with Kyle Hutchins
5/7/2023,,,improv,,Never Ending Books,New Haven,CT,with Emily Beisel and Bill Harris
4/25/2023,,,FluCoMa Workshop,Peabody Institute Computer Music,Johns Hopkins University,Baltimore,MD,
4/24/2023,4/27/2023,,Teaching Residency,Peabody Institute Computer Music,Johns Hopkins University,Baltimore,MD,
4/21/2023,,Serge Modular Archive Instrument: Archiving and Performing Vintage Sound Space,,Open Music Initiative,Yale University,New Haven,CT,
4/13/2023,,,Presentation,Composition Seminar,Yale University,New Haven,CT,
4/8/2023,,,improv,FIM,Orchard Street,New Haven,CT,with Luke Rovinsky
4/8/2023,,Serge Modular Archive Instrument: Archiving and Performing Vintage Sound Space,,SEAMUS,New York University,Manhattan,NY,in collaboration with Jean Brazeau
4/6/2023,,,FluCoMa Workshop,,Ramapo College,Mahwah,NJ,
4/5/2023,,,improv,Shift,411 Kent,Brooklyn,NY,with Matthew Ostrowski
3/10/2023,,quartet,,Performing Media Festival,Indiana University South Bend,South Bend,IN,
3/8/2023,,,improv,,Century Bar,Philadelphia,PA,with Nina Guo
3/6/2023,3/10/2023,,FluCoMa Workshop,,University of Pennsylvania,Philadelphia,PA,
3/3/2023,,Making Machine Learning Musical: Reflections on a Year of Teaching FluCoMa,,Music Technology Pedagogy Summit,Westminster College,Salt Lake City,UT,
2/26/2023,,still motion,,,Boston Conservatory,Boston,MA,Josh Perry
2/22/2023,,,"Guest Lecture, on AI & Music",,University of the Highlands & Islands,Perth,UK,(remote)
1/29/2023,,,Unsupervised Machine Learning in FluCoMa Workshop,Music Hackspace,,London,UK,(remote)
1/19/2023,,,improv,FIM,Never Ending Books,New Haven,CT,with Luke Rovinsky
1/14/2023,,,improv,,Jazzorca,Mexico City,MX,"with German Bringas, Don Malfon, Carlos Alegre, Alex Motta, Pablo Rubio Vargas, & Baal Inthy"
1/12/2023,,saccades,,,El Sótano de Vacas Verdes,Mexico City,MX,with Olly Sellwood
1/6/2023,,,improv,Line Upon Line Percussion Winter Festival,CRASHBOX,Austin,TX,"with Olly Sellwood, Cullyn Murphy, Inga Chinilina, José Hernandez, Brandon Lincoln Snyder, and Jeremy Rapaport-Stein"
1/6/2023,,saccades,,Line Upon Line Percussion Winter Festival,CRASHBOX,Austin,TX,with Olly Sellwood
1/4/2023,,saccades,,,MISE-EN_PLACE,Brooklyn,NY,with Olly Sellwood
12/11/2022,,,Neural Networks in FluCoMa Workshop,Music Hackspace,,London,UK,
12/6/2022,,still motion b,,New Music + Technology Concert in The Cube,Virginia Tech University,Blacksburg,VA,Ted Moore
12/5/2022,,,Technical Director of Spatial Audio,New Music + Technology Concert in The Cube,Virginia Tech University,Blacksburg,VA,"Tiffany Skidmore's composition, _The William Blake Cycle_"
11/9/2022,,,FluCoMa Presentation,Scott Peterson's SuperCollider Class,Yale University,New Haven,CT,
10/22/2022,,,Intro to FluCoMa Workshop,Music Hackspace,,London,UK,
10/19/2022,,still motion,,,Emory University,Atlanta,GA,Josh Perry
